Protocol,Packet_Length,Duration,Bytes_Sent,Bytes_Received,Flow_Packets/s,Flow_Bytes/s,Avg_Packet_Size,Total_Fwd_Packets,Total_Bwd_Packets,Fwd_Header_Length,Bwd_Header_Length,Sub_Flow_Fwd_Bytes,Sub_Flow_Bwd_Bytes,Inbound,Attack_Type,Label
TCP,452,2.54,1554,1357,31.2,1609.5,512,30,44,512,512,565,678,1,Normal,0
ICMP,665,4.58,1463,935,12.3,813.2,256,10,33,512,256,497,1375,0,DDoS,1
ICMP,1464,0.2,1144,1865,29.2,178.5,1024,46,44,512,512,1217,1164,0,Brute Force,0
ICMP,1521,1.19,1828,561,21.7,815,64,38,39,256,128,680,717,0,Ransomware,0
UDP,68,1.66,1406,1287,24.9,1464.8,256,41,35,256,512,1725,187,1,Ransomware,0
UDP,771,2.88,855,566,38.7,1743.1,1024,26,26,512,256,1981,1644,1,Normal,1
ICMP,424,3.42,574,1910,28.1,600.7,64,27,19,256,512,341,1011,1,Ransomware,1
TCP,451,0.48,174,66,25.3,898.5,1024,38,34,512,128,1656,470,0,DDoS,0
TCP,2026,2.5,1155,1826,21.2,613.5,1024,48,45,512,512,505,650,1,Normal,1
ICMP,947,2.14,1260,1540,31.1,1588.4,1024,19,34,512,128,775,1801,0,Brute Force,0
ICMP,172,3.23,466,464,21.3,2002.7,1024,48,23,512,512,299,678,0,DDoS,1
UDP,420,4.64,823,1763,30.6,1049.5,512,46,27,128,128,189,1261,0,Brute Force,0
ICMP,1978,4.15,1735,188,31.5,1539.5,512,22,21,256,128,1533,945,1,DDoS,0
UDP,1654,1.46,1333,778,39.5,1013.6,256,28,11,128,128,365,1146,1,Ransomware,0
ICMP,443,3.1,1383,1162,39.6,805.8,1024,33,33,256,256,1350,1752,1,Brute Force,1
TCP,524,1.22,1998,634,21.8,1168.9,256,21,15,128,512,1230,1866,1,Ransomware,1
ICMP,1850,4.95,181,968,35.8,1544.1,512,18,28,128,256,695,501,1,Brute Force,0
UDP,490,3.33,1872,493,30.1,694.4,1024,11,11,512,256,1712,363,0,DDoS,1
TCP,1346,4.61,256,873,10.4,1154.3,64,16,16,256,512,919,1952,0,Ransomware,1
ICMP,1875,2.82,1256,1556,26.5,674.6,1024,21,30,128,256,345,439,0,Normal,1
TCP,853,2.47,947,806,38.7,1002.4,512,49,41,512,128,844,1914,1,Brute Force,0
UDP,1428,3.48,1058,828,11.7,1334.4,256,34,19,512,512,1453,562,0,Brute Force,1
TCP,1451,1.61,1193,1617,31.2,1086.5,512,36,36,512,256,883,1318,1,Brute Force,0
UDP,1365,4.34,1199,712,25.7,2030,1024,44,25,512,128,1816,607,1,DDoS,0
TCP,1950,3.63,1253,316,28,865.1,64,19,37,128,256,633,173,1,Ransomware,1
UDP,1795,0.18,1130,373,24.1,808.9,256,32,48,512,256,1029,451,1,DDoS,0
TCP,334,4.25,658,1209,20.8,950.2,512,31,28,512,128,1538,1610,1,DDoS,0
ICMP,1381,4.69,1271,1730,29.9,323.3,512,38,48,512,128,970,1195,0,DDoS,0
TCP,1635,0.26,1831,2010,35.4,397.7,256,17,25,128,128,1241,440,1,DDoS,1
ICMP,1393,3.81,1449,1239,12.2,1004.5,64,38,44,128,128,1593,1643,0,DDoS,1
ICMP,742,3.98,1188,1644,15.9,1534.4,256,38,25,512,128,643,599,1,DDoS,0
UDP,1942,2.12,1230,878,26,338.2,64,21,31,256,512,613,1311,0,Ransomware,0
TCP,612,3.73,1744,363,11.4,301.5,64,31,13,512,256,327,1573,0,Ransomware,1
UDP,1153,0.16,1395,789,33.9,2022.2,64,40,11,512,256,1499,986,1,Ransomware,0
TCP,1572,0.38,237,1206,37.4,1535,1024,15,10,128,128,331,1571,1,DDoS,1
ICMP,779,3.32,300,349,35.3,1860.2,512,19,41,256,512,839,1161,1,DDoS,1
UDP,926,3,527,685,23.4,890.4,64,39,10,128,256,586,1355,0,Brute Force,0
UDP,544,2.07,378,450,37,1447.4,256,36,10,512,128,1092,857,0,Normal,0
UDP,1586,4.54,361,1345,29.2,2029.5,256,17,30,128,512,1422,1973,0,Brute Force,1
TCP,1808,1.74,1022,919,18.9,1247.7,256,18,27,512,512,1003,1138,1,Normal,0
UDP,408,3.71,1108,416,21.5,617.5,1024,33,40,512,128,682,737,1,DDoS,1
UDP,847,3.9,272,82,19.3,407,1024,36,41,512,512,745,1101,1,Normal,0
ICMP,1966,4.47,1534,1836,20.8,1540.4,256,27,29,128,256,1043,1329,0,DDoS,0
TCP,1889,2.43,1171,810,15.5,983.9,512,23,15,256,128,1289,523,1,Ransomware,0
TCP,782,3.51,1966,1288,19.5,1907.5,512,20,49,512,256,1707,674,1,Brute Force,0
TCP,999,2.9,676,161,14.1,1271.2,512,49,11,128,256,384,1270,1,Normal,0
ICMP,1928,1.54,350,1719,28,1575.4,64,36,38,128,128,1450,1249,0,Ransomware,0
UDP,293,0.81,1279,1540,26.3,700.8,1024,37,48,128,128,1710,641,0,DDoS,1
UDP,1759,0.31,1672,768,25.4,479.7,256,32,38,256,128,1842,1939,1,Ransomware,0
UDP,466,1.47,1374,233,28.4,1171.4,64,17,17,512,128,1256,358,1,Ransomware,0
ICMP,970,4.13,277,915,28.9,1955.5,256,18,21,128,256,352,1402,1,DDoS,0
UDP,1250,1.17,1143,714,15.1,786.8,512,23,10,256,128,546,630,1,Normal,1
ICMP,1038,1.92,158,1403,29.3,1489.7,256,49,38,256,128,1517,1499,0,Brute Force,0
ICMP,1961,2.88,116,393,15.1,506.3,1024,15,44,256,512,1125,1013,1,Ransomware,0
UDP,2009,3.33,785,388,21.8,1307.7,1024,12,37,256,512,2025,1917,0,Brute Force,1
ICMP,894,4.14,813,127,20.8,918.4,512,36,43,256,512,672,1039,0,Ransomware,1
ICMP,941,4.48,323,2013,38.6,965.9,512,34,22,256,256,1751,457,1,DDoS,1
UDP,910,1.32,1107,594,11.3,1914.5,1024,32,28,256,512,385,1055,1,DDoS,0
ICMP,617,4.37,768,1545,31,816.1,1024,35,16,512,256,1654,1670,0,Ransomware,0
TCP,2004,3.15,888,423,34.9,1738.7,64,11,38,256,128,499,1142,0,Ransomware,0
ICMP,137,3.88,452,1324,16.1,1696.8,64,41,16,256,128,1423,1971,0,Brute Force,1
ICMP,1400,2,949,858,20,1915.9,64,27,38,256,256,312,1124,1,DDoS,1
TCP,267,2.83,68,1737,18.9,1857.5,256,35,29,128,512,342,1588,1,Ransomware,0
ICMP,1037,0.75,1036,1073,14.1,1281.5,256,41,43,512,128,1696,242,1,Brute Force,1
UDP,1410,0.41,497,122,21.2,565.3,1024,35,28,256,128,704,1305,1,DDoS,1
ICMP,1914,3.04,1236,195,18.7,779.2,256,21,21,256,128,1089,1095,0,Brute Force,0
UDP,1539,2.38,1344,389,24.4,1008.3,1024,11,15,512,256,1123,1799,0,Brute Force,0
TCP,176,4.41,1966,1561,26.6,1358.8,1024,45,16,256,512,204,1952,0,Normal,1
UDP,186,4.65,206,1977,20.3,691.4,512,27,23,128,512,1781,1265,1,Ransomware,1
UDP,375,4.95,1260,95,18.8,1713.2,1024,14,11,256,128,935,1716,1,Ransomware,1
ICMP,293,2.86,827,2007,25.1,532.1,64,22,18,512,128,1116,1687,1,Brute Force,1
UDP,1525,4.58,1627,1267,29.5,544.1,256,34,49,128,256,1367,1141,0,DDoS,0
ICMP,466,1.32,222,127,29.2,723.6,1024,20,22,512,256,1419,2027,1,Brute Force,0
UDP,717,3.41,1803,1927,15,106.2,256,35,30,512,512,1314,1397,0,DDoS,1
UDP,2015,0.1,685,950,13.9,1569.2,1024,26,31,256,512,1766,1792,0,DDoS,1
UDP,617,3.57,1894,1110,33.5,1393.3,1024,49,49,128,256,1928,1250,1,DDoS,0
UDP,726,4.83,426,394,33.5,501,64,49,20,512,512,363,1890,1,Brute Force,1
TCP,1787,0.19,1532,1481,17.3,571.9,512,30,35,512,512,1534,890,1,Ransomware,1
ICMP,1566,4.89,1207,1094,10.9,131,1024,37,30,512,512,1244,258,1,Ransomware,1
UDP,1578,0.87,1297,943,36.5,1828.1,512,29,15,128,512,615,1396,0,DDoS,1
UDP,613,1.29,496,1231,28.2,909.4,1024,46,12,128,256,797,338,1,DDoS,1
TCP,1947,1.47,1196,1433,25.5,1867.1,64,40,16,128,128,872,2006,0,DDoS,1
TCP,1663,0.62,156,1923,20.1,1173.6,256,13,18,256,128,1516,689,0,Normal,1
UDP,1400,4.49,451,1867,37.9,1072.1,64,35,13,256,128,762,609,0,Ransomware,1
UDP,110,0.84,995,1907,38.1,1324.3,256,26,13,512,512,906,151,1,DDoS,1
TCP,1433,4.26,838,258,19.3,308.8,1024,42,24,256,128,327,1853,1,Brute Force,0
UDP,928,3.97,516,1248,20.7,1048.4,64,11,26,256,128,161,1941,0,DDoS,1
TCP,820,3.67,124,1595,27.7,1359.7,256,15,27,512,256,1941,1789,0,DDoS,1
TCP,2026,2.96,1144,1285,39.5,956.4,64,32,22,256,256,1240,544,0,Normal,0
TCP,1981,1.48,1631,1422,37.8,1838.8,256,35,47,128,128,367,1658,0,Brute Force,0
TCP,911,3.69,357,142,17.8,1097.6,512,11,27,512,128,926,428,0,Brute Force,1
ICMP,789,4.4,790,356,22.7,1934.3,64,35,37,128,512,1038,665,1,DDoS,1
TCP,1484,3.96,1968,1158,25,741.5,256,42,26,512,128,599,1814,1,Ransomware,1
UDP,860,2.18,965,237,27.9,332.4,512,49,29,512,256,259,903,0,Normal,1
ICMP,1357,3.26,463,597,21.1,1750.9,64,27,28,128,512,653,1144,1,Ransomware,1
ICMP,1021,1.11,869,1725,25.2,1823,256,32,34,128,256,689,1968,0,Brute Force,0
TCP,763,3.22,135,976,12.2,192.4,64,35,32,128,256,347,1381,1,Ransomware,1
UDP,292,1.57,335,959,22.7,365.1,1024,36,14,128,256,1785,790,0,Normal,0
UDP,2019,1.01,1681,1318,14.8,779.2,256,40,41,512,512,474,1480,0,DDoS,0
UDP,1033,4.95,1399,1895,30.6,1380.1,256,13,39,256,128,1303,384,1,DDoS,1
UDP,1187,2.44,439,1963,13.5,1461.7,512,39,38,512,512,1662,1403,0,Ransomware,0
TCP,1527,4.6,842,697,35.8,1915.1,1024,43,10,512,512,1564,742,1,Normal,0
ICMP,1042,1.15,1894,336,13,1434.9,64,17,42,128,512,733,368,0,Ransomware,0
TCP,1683,3.05,1766,398,11.4,254.3,256,25,11,256,512,1366,192,1,Brute Force,0
ICMP,332,0.35,640,871,16,940.3,1024,26,28,128,128,498,1557,1,Normal,1
ICMP,897,0.77,1939,1598,35.1,1044.1,1024,22,46,512,128,2028,1295,0,Normal,0
UDP,1270,1.82,1730,882,38.8,1597.5,1024,32,29,512,128,1844,441,0,Normal,0
UDP,1760,0.72,1632,266,28,799.2,512,24,25,256,128,709,661,1,DDoS,0
TCP,434,3.39,1255,1383,38.1,1724.6,64,11,44,128,256,1945,1221,1,Normal,1
ICMP,1745,4.85,659,816,16.7,996.4,512,22,37,128,512,1229,521,0,Brute Force,0
ICMP,2006,3.75,1450,1994,28.1,894,1024,35,21,128,512,368,1755,0,Ransomware,1
ICMP,1765,4.78,688,207,29.4,285.8,1024,33,21,256,128,561,1715,1,DDoS,0
TCP,1456,4.36,2036,515,29.1,1926.1,1024,14,45,256,128,1750,1741,1,Normal,1
UDP,1074,3.13,791,1389,22.8,976.2,1024,30,13,256,256,1286,731,1,Brute Force,0
TCP,1154,3.99,1472,1691,24.8,1101.2,512,39,23,512,512,1802,182,0,DDoS,1
ICMP,1495,4.61,1049,1710,27.2,959.8,256,13,38,128,256,825,1030,1,Brute Force,0
ICMP,1309,2.94,845,1675,12.3,2029.6,64,39,25,512,128,1109,1515,0,Normal,0
TCP,1600,2.78,428,1606,17,377.9,64,20,28,256,128,2010,500,1,DDoS,1
UDP,1248,3.01,170,444,29,1057,256,47,43,512,128,310,2045,0,DDoS,1
ICMP,666,2.38,1873,702,15.6,1122.8,64,47,34,256,128,929,555,0,Ransomware,1
TCP,1605,3.49,922,366,18.1,973.5,512,49,17,512,256,223,1805,1,Brute Force,1
TCP,398,4.9,624,679,38.3,1428.8,1024,37,38,256,256,583,1140,1,DDoS,0
TCP,1408,2.27,1362,894,28.5,786.6,64,46,31,512,512,378,975,0,Brute Force,1
TCP,232,0.25,608,1287,19,1009.9,512,35,27,512,512,1981,1724,1,Brute Force,1
ICMP,1592,2.56,1965,709,39.9,1365.1,64,23,24,512,128,1094,482,0,Brute Force,1
UDP,68,2.03,747,1598,14.2,300.6,1024,24,19,256,256,1630,1648,0,Normal,0
TCP,1432,1.86,550,1704,11.8,1964.3,256,20,36,128,256,136,664,1,Normal,0
UDP,854,2.96,643,1553,32.6,1411.5,1024,40,19,512,512,202,1628,1,DDoS,0
ICMP,880,2.39,76,1895,12.6,456,1024,13,14,512,512,1465,1870,1,Brute Force,0
UDP,1837,1.66,766,1714,10.4,1709.2,1024,39,17,256,128,494,1400,0,Brute Force,1
ICMP,620,4.95,1336,79,27.4,1767.4,1024,45,35,512,512,147,714,0,Brute Force,1
UDP,545,1.27,1860,776,39,1942.3,256,21,20,128,128,1275,1576,1,Ransomware,1
UDP,1243,4.56,242,1604,28.4,776.3,1024,38,45,256,128,565,1119,0,Brute Force,0
TCP,1966,1.88,1615,1705,18.5,1115.4,512,32,12,256,128,1838,559,0,Normal,1
TCP,825,0.2,1898,422,27,737.5,256,43,49,512,128,1138,768,1,DDoS,1
ICMP,1459,0.74,143,410,39.6,1814.2,256,18,36,256,128,785,1824,0,DDoS,0
UDP,1907,0.77,575,338,20.1,1796.8,1024,47,32,256,256,1870,1248,0,Normal,0
ICMP,387,1.02,1687,557,14.3,472.4,512,30,44,128,512,181,1178,0,Ransomware,0
UDP,996,1.22,405,1920,15.2,1200.2,1024,38,26,512,256,148,1047,0,Ransomware,1
TCP,121,0.97,771,1738,18.9,953.7,512,17,47,512,512,1169,305,0,Normal,0
TCP,724,4.43,149,1510,27.6,225.8,1024,37,35,512,512,353,1185,0,Ransomware,1
TCP,1806,0.79,1070,230,13.1,880.8,256,19,24,128,128,1774,359,0,Brute Force,1
UDP,812,1.83,454,566,21.7,423.4,512,31,16,512,128,409,498,0,Brute Force,0
ICMP,557,2.39,141,638,10.4,383,256,27,22,128,128,1787,2041,0,Ransomware,0
TCP,935,1.13,160,309,12.5,1889.3,256,21,25,128,512,718,779,1,DDoS,1
ICMP,1764,0.35,940,300,28,1322.9,1024,25,40,128,128,1922,1408,0,Normal,0
TCP,871,0.2,1086,231,11.9,1608.9,1024,12,33,128,256,1484,175,1,DDoS,1
ICMP,966,2.7,766,1614,34.8,658.7,1024,37,35,512,256,1607,912,0,Ransomware,0
ICMP,1953,3.83,156,325,15.9,1104.3,512,25,47,256,512,579,1106,0,Normal,0
UDP,669,3.58,1949,204,10.1,1598,256,16,48,256,512,1226,1208,1,DDoS,1
TCP,1154,2.33,1740,1780,18.5,926.1,64,21,23,128,128,1223,1321,1,Ransomware,0
ICMP,1573,3.03,947,169,29.6,821.2,256,19,19,256,128,334,1763,1,Normal,0
TCP,553,3.99,96,1675,12.1,1814.6,256,49,11,512,512,1650,1343,0,Normal,0
UDP,564,4.15,1330,1122,11.4,331.7,1024,16,48,128,256,798,619,0,Ransomware,0
UDP,721,4.77,1688,254,33.1,1833.4,1024,13,49,512,128,1262,2003,1,DDoS,1
ICMP,712,2.24,380,1532,37.5,1919.1,1024,28,26,512,128,1007,155,0,Normal,1
ICMP,1619,4.92,1593,1858,27.8,741.2,1024,21,28,256,512,1390,1605,1,Brute Force,1
TCP,246,3.82,1056,1628,24.8,900,64,36,24,512,128,473,199,0,DDoS,1
ICMP,1245,2.8,1280,1646,27,157,256,34,34,128,256,1377,1418,0,Brute Force,1
UDP,872,0.32,249,340,15.9,1381.5,256,47,38,128,128,711,1014,1,Normal,1
ICMP,824,3.91,510,1112,25.2,217.5,256,32,38,256,128,1202,1418,0,Normal,0
TCP,591,1.04,1286,1514,14.9,969.9,256,47,15,512,128,1828,2015,1,Brute Force,1
ICMP,946,0.65,923,861,24.8,240.7,256,36,48,128,512,634,986,0,Brute Force,0
ICMP,397,2.97,1201,659,30.8,1837.5,64,38,36,128,256,345,1782,1,Ransomware,1
UDP,1281,3.31,1262,97,38.6,1767.3,512,10,15,128,512,653,394,1,Ransomware,0
ICMP,1464,2.81,185,974,24,1862.3,256,11,17,128,512,703,785,0,Brute Force,0
TCP,1819,3.31,1387,1371,28.7,614.1,256,48,16,256,512,223,1161,1,Brute Force,1
ICMP,876,0.59,1162,114,22.9,1189.5,256,21,27,256,128,2026,129,1,DDoS,1
TCP,1047,3.54,1635,1758,24.9,815.3,1024,33,43,512,256,1464,384,0,Ransomware,0
ICMP,1908,4.18,1340,563,25.6,1546.3,64,49,25,128,128,284,138,0,Brute Force,0
TCP,318,2.93,1629,1163,30.9,112,512,37,18,512,512,1498,1920,1,Ransomware,1
TCP,1300,2.25,960,831,20.5,408.7,512,31,38,256,512,291,2043,0,Brute Force,1
UDP,982,4.75,736,2019,35.1,1190.8,512,40,27,256,256,1838,1569,0,DDoS,1
ICMP,1380,2.31,1311,1065,24.9,118.7,256,33,46,256,512,630,1409,1,DDoS,0
ICMP,472,1.23,211,771,20.1,1889.4,1024,29,33,128,512,945,480,1,Ransomware,1
ICMP,362,2.73,915,293,17.7,1896.2,1024,40,32,256,256,1226,704,1,Normal,0
TCP,243,4.51,208,1305,36.8,621.3,1024,29,26,128,128,987,1061,0,Brute Force,0
UDP,259,3.69,285,612,28.3,1899,512,14,47,512,512,1625,1488,0,Normal,1
ICMP,1737,0.11,1376,605,34.1,1610.9,64,19,14,256,512,211,1430,0,Brute Force,1
UDP,990,0.85,1726,313,19.3,410.5,512,15,35,256,128,1482,949,0,Brute Force,1
TCP,257,4.87,2041,1510,16.5,606.2,1024,36,14,128,512,596,1716,1,Brute Force,0
ICMP,1994,1.14,813,1840,13.4,1927.3,1024,29,32,512,512,382,1893,1,Brute Force,0
TCP,600,3.83,1239,528,25.9,1137,64,30,43,128,512,1604,1098,1,Ransomware,1
UDP,910,1.35,1827,1310,31.6,1932.8,512,24,30,512,128,1072,529,0,Ransomware,1
TCP,1148,4.64,550,1764,16.2,111.5,64,41,19,128,256,1908,1425,0,Brute Force,1
ICMP,1421,1.65,1696,1995,22.7,1636.2,256,36,10,512,128,507,1672,1,Brute Force,1
TCP,120,3.07,1501,531,20.8,1836.3,256,27,33,256,128,808,143,0,Brute Force,0
UDP,313,0.76,1078,1995,19.6,492.6,1024,26,32,512,128,423,1436,0,DDoS,1
TCP,262,3.55,1992,1124,36.5,975.5,64,13,47,256,512,616,756,1,Ransomware,0
TCP,386,2.48,439,1256,12.2,533.7,1024,17,33,512,256,1360,737,0,Brute Force,1
UDP,189,1.05,1013,1219,25.8,1428.5,1024,47,45,256,512,221,616,0,Brute Force,1
TCP,1412,0.11,1406,1846,21.6,1425,256,21,29,128,128,1620,1427,0,Normal,0
ICMP,1842,4.43,312,1482,17.4,427.7,512,28,32,512,512,347,513,1,DDoS,0
TCP,366,1.86,1138,500,39.6,1969.9,256,29,33,256,512,1817,472,0,Brute Force,0
UDP,541,1.31,1059,2043,38.7,858.2,1024,48,38,256,512,389,1562,0,Ransomware,1
ICMP,276,4.28,407,1196,30.3,1777.8,64,21,47,128,128,1548,1621,1,Normal,0
ICMP,432,3.46,449,1440,38.6,1008,256,18,47,256,512,1947,1345,1,Ransomware,0
TCP,1073,1.92,1919,1487,33.4,1651.3,512,32,49,256,256,1816,564,1,Normal,0
TCP,911,1.5,1792,1511,22,159.5,1024,12,49,256,128,1159,1527,0,Ransomware,0
ICMP,884,1.34,1363,1584,19.1,981.3,512,47,10,512,256,802,1799,0,Normal,1
ICMP,1125,3.56,965,175,18.3,1408.7,1024,24,25,256,512,706,588,1,Brute Force,0
TCP,265,1.5,1310,1991,36.8,1468.9,256,37,36,256,512,352,167,1,Ransomware,1
ICMP,1342,3.75,1970,427,24.6,991,64,40,21,128,256,532,978,1,Brute Force,1
ICMP,454,4.24,66,1208,22.7,1934.4,1024,47,26,256,512,1931,1069,0,Brute Force,0
ICMP,708,0.97,1114,1410,29.5,1200.1,256,15,28,256,128,876,1890,1,Ransomware,1
UDP,308,0.1,760,1762,23.8,948.9,256,44,36,128,512,517,988,1,Ransomware,0
ICMP,800,4.71,299,706,20,743.7,256,35,29,128,128,1942,490,0,Normal,0
ICMP,1171,3.71,1283,1789,13.7,2018.3,256,17,16,512,128,1831,1676,1,Ransomware,0
UDP,1097,0.43,182,407,28,617.7,1024,24,29,512,128,1754,627,1,Ransomware,0
ICMP,626,0.12,1311,592,36.3,108.9,256,43,25,256,128,1691,664,1,Normal,0
TCP,244,1.07,118,1052,24.2,1088.2,512,10,16,128,256,1845,469,1,Brute Force,0
ICMP,532,4.99,819,1459,10.9,236.1,1024,46,18,256,128,1389,1216,0,Normal,0
UDP,1890,4.88,226,1390,13,1988.7,1024,25,23,256,512,632,676,0,Normal,1
TCP,1538,2.53,1122,1446,31.1,1316.7,1024,19,26,512,128,471,432,0,DDoS,1
TCP,205,3.64,916,304,19.1,1197.7,256,10,21,512,256,450,1670,1,Ransomware,0
UDP,1084,1.57,1419,1867,35.1,730.5,64,10,36,256,128,1690,1331,1,Ransomware,1
UDP,1525,4.61,1903,1424,26.5,1584.7,256,46,45,512,256,151,1583,1,Normal,1
ICMP,224,2.31,1538,822,14,578.2,256,19,49,256,256,1371,1026,1,DDoS,0
UDP,262,0.3,271,1852,39.7,1599.8,64,27,14,256,256,1562,178,1,Brute Force,0
TCP,1975,2.45,631,1835,14.7,1811.1,256,20,41,256,512,1083,1195,1,DDoS,0
UDP,867,1.87,1090,974,15.1,1700.1,256,42,13,128,128,308,856,0,Brute Force,1
UDP,1812,2.48,1611,393,36.2,1508.6,256,12,33,512,256,706,1007,1,DDoS,0
TCP,1668,4.65,1385,357,37,1800.3,512,49,33,512,512,1755,786,0,Ransomware,1
UDP,1743,2.7,990,719,36.8,1705.8,256,42,18,256,512,999,247,0,Normal,1
UDP,656,2.99,517,1754,30.1,1418.6,512,47,28,512,512,453,887,1,Brute Force,0
TCP,730,0.85,1378,1939,19.4,1856.1,64,45,45,512,512,1806,1521,1,DDoS,0
ICMP,1143,2.06,1415,1959,30.2,1333.2,1024,32,20,128,128,1125,1892,1,Ransomware,0
UDP,1867,4.28,1467,169,34.8,308.8,1024,30,14,128,512,1536,1172,1,Ransomware,0
ICMP,1466,2.39,1389,296,17.9,234.7,64,18,24,512,512,368,1846,1,Brute Force,0
UDP,434,0.86,1945,2011,29.6,777.4,256,10,29,512,256,1679,1112,0,Normal,0
UDP,1576,0.73,1020,391,14.8,1486,512,32,44,256,256,1105,144,0,Ransomware,0
ICMP,744,2.99,1686,1498,35.8,830.9,1024,38,37,512,256,1795,1493,1,DDoS,1
TCP,1924,3.39,1945,1365,33.8,981.3,1024,14,46,512,256,1445,178,1,Ransomware,0
TCP,1329,2.03,1281,1214,37.8,1795.5,256,36,26,256,256,157,1984,1,Normal,0
ICMP,705,1.82,386,1513,34,1221.4,1024,38,25,128,256,1928,811,1,Normal,1
UDP,1223,1.22,887,462,38.7,1276,64,35,43,128,256,877,1069,0,Ransomware,0
UDP,345,0.88,758,263,15.2,259.9,512,37,46,128,128,1726,1854,1,Brute Force,1
TCP,1614,3.59,237,313,18,1068.5,256,27,42,128,512,902,1282,0,Ransomware,0
TCP,1289,1.96,871,145,35.7,1377.8,256,17,21,128,512,371,989,1,Normal,1
ICMP,826,0.49,446,1192,25.4,445.7,64,13,34,256,512,593,667,0,Normal,0
UDP,392,2.78,1452,1377,37.2,1503.2,64,14,18,128,512,1013,1373,0,DDoS,0
TCP,1492,1.7,1369,1422,19.5,351,512,22,44,512,512,2046,1907,0,DDoS,0
TCP,1907,3.94,427,117,22.3,1545.5,512,40,43,256,512,612,366,1,Ransomware,0
ICMP,325,1.58,1689,1461,23.6,1314.1,512,44,30,512,256,2000,1411,1,Normal,0
UDP,265,3.35,285,1762,34.5,685.4,64,30,22,128,512,283,1764,1,Brute Force,1
UDP,1603,1.76,904,799,24.4,1602.2,1024,21,29,512,512,483,1879,1,DDoS,1
TCP,1218,0.74,387,132,32,897,1024,49,19,256,512,1007,1676,1,Ransomware,0
UDP,625,3.04,433,140,17.3,1402.8,1024,18,40,256,512,1400,447,0,Brute Force,1
TCP,1870,2.69,1350,136,33.2,1302,512,45,19,256,512,1766,610,1,Ransomware,0
TCP,1877,2.41,1652,1142,36.4,878.1,512,16,40,256,256,785,600,0,Ransomware,1
ICMP,337,3.45,612,1237,25.9,1986.7,256,28,34,512,256,814,2031,0,DDoS,1
UDP,1015,1.8,1494,902,23.2,616.3,1024,39,17,128,128,153,430,0,Ransomware,0
UDP,2014,2.01,602,1786,15.3,1470.1,512,34,21,512,512,655,1281,1,DDoS,1
UDP,1423,2.45,841,1795,13.5,1845.1,1024,24,44,128,512,1326,549,0,Ransomware,0
UDP,1263,4.62,298,1305,30.3,1496.6,64,40,48,128,512,137,1209,0,Ransomware,0
ICMP,156,1.13,739,1814,23.1,218.7,256,25,25,512,128,459,978,0,Ransomware,0
UDP,663,4.98,454,1866,18.3,938.2,512,35,47,128,128,1618,756,1,Normal,1
TCP,1460,0.24,1086,802,21.5,666.6,1024,23,14,512,512,774,1536,1,Normal,0
UDP,1838,4.81,1397,835,12.2,131.9,1024,30,46,128,128,1725,1853,0,Ransomware,0
ICMP,1321,2.14,1542,1229,26.8,218.7,1024,46,21,512,256,1362,1134,0,DDoS,0
TCP,1501,2.15,544,310,12,1790.4,256,23,41,256,512,722,1955,1,DDoS,0
